"","date","team","conf","opp","opp_conf","location","result","score","wab","quad"
"1438",2023-11-21,"Detroit","Horz","Eastern Michigan","MAC","Home","L","76-72",-0.98093441942002,"Quadrant 4"
"1439",2023-11-21,"FIU","CUSA","Loyola Marymount","WCC","Neutral","L","61-60",-0.861678551789993,"Quadrant 4"
"1440",2023-11-21,"Loyola Marymount","WCC","FIU","CUSA","Neutral","W","61-60",0.0580592334408115,"Quadrant 4"
"1441",2023-11-21,"Fresno St.","MWC","New Mexico St.","CUSA","Neutral","W","81-76",0.0812524759322536,"Quadrant 4"
"1442",2023-11-21,"New Mexico St.","CUSA","Fresno St.","MWC","Neutral","L","81-76",-0.877397816139521,"Quadrant 4"
"1443",2023-11-21,"Georgia Southern","SB","Northeastern","CAA","Neutral","L","93-76",-0.883148187108572,"Quadrant 4"
"1444",2023-11-21,"Northeastern","CAA","Georgia Southern","SB","Neutral","W","93-76",0.0543389650596875,"Quadrant 4"
"1445",2023-11-21,"Gonzaga","WCC","Syracuse","ACC","Neutral","W","76-57",0.338858020762523,"Quadrant 2"
"1446",2023-11-21,"Syracuse","ACC","Gonzaga","WCC","Neutral","L","76-57",-0.38108925909945,"Quadrant 1"
"1447",2023-11-21,"Green Bay","Horz","UC Riverside","BW","Neutral","L","74-68",-0.892641139817429,"Quadrant 4"
"1448",2023-11-21,"UC Riverside","BW","Green Bay","Horz","Neutral","W","74-68",0.113389776277837,"Quadrant 3"
"1449",2023-11-21,"High Point","BSth","Illinois St.","MVC","Neutral","W","74-72",0.116789490536512,"Quadrant 3"
"1450",2023-11-21,"Illinois St.","MVC","High Point","BSth","Neutral","L","74-72",-0.748194612957723,"Quadrant 3"
"1451",2023-11-21,"Hofstra","CAA","Wright St.","Horz","Neutral","W","85-76",0.185060992159706,"Quadrant 3"
"1452",2023-11-21,"Wright St.","Horz","Hofstra","CAA","Neutral","L","85-76",-0.77443189622725,"Quadrant 3"
"1453",2023-11-21,"Idaho St.","BSky","Campbell","CAA","Away","W","69-55",0.106576561467444,"Quadrant 4"
"1454",2023-11-21,"Campbell","CAA","Idaho St.","BSky","Home","L","69-55",-0.953925748643289,"Quadrant 4"
"1455",2023-11-21,"Indiana St.","MVC","Rice","Amer","Neutral","W","103-88",0.127511306770784,"Quadrant 4"
"1456",2023-11-21,"Rice","Amer","Indiana St.","MVC","Neutral","L","103-88",-0.512418598996558,"Quadrant 1"
"1457",2023-11-21,"Iona","MAAC","Long Beach St.","BW","Neutral","L","80-76",-0.845651515787581,"Quadrant 3"
"1458",2023-11-21,"Long Beach St.","BW","Iona","MAAC","Neutral","W","80-76",0.153520664345785,"Quadrant 3"
"1459",2023-11-21,"James Madison","SB","Southern Illinois","MVC","Neutral","W","82-76",0.290957483041075,"Quadrant 3"
"1460",2023-11-21,"Southern Illinois","MVC","James Madison","SB","Neutral","L","82-76",-0.607478587946287,"Quadrant 2"
"1461",2023-11-21,"Kansas","B12","Marquette","BE","Neutral","L","73-59",-0.319439448551017,"Quadrant 1"
"1462",2023-11-21,"Marquette","BE","Kansas","B12","Neutral","W","73-59",0.692760594886654,"Quadrant 1"
"1463",2023-11-21,"Kennesaw St.","ASun","East Carolina","Amer","Away","L","85-84",-0.697858873698494,"Quadrant 3"
"1464",2023-11-21,"East Carolina","Amer","Kennesaw St.","ASun","Home","W","85-84",0.0426440774738843,"Quadrant 4"
"1465",2023-11-21,"LIU Brooklyn","NEC","Columbia","Ivy","Away","L","77-67",-0.75681707292365,"Quadrant 3"
"1466",2023-11-21,"Columbia","Ivy","LIU Brooklyn","NEC","Home","W","77-67",0.0132163414916695,"Quadrant 4"
"1467",2023-11-21,"La Salle","A10","Duke","ACC","Away","L","95-66",-0.220230893875038,"Quadrant 1"
"1468",2023-11-21,"Duke","ACC","La Salle","A10","Home","W","95-66",0.0635218597287662,"Quadrant 4"
"1469",2023-11-21,"Le Moyne","NEC","Cal St. Northridge","BW","Away","W","80-70",0.170891939874109,"Quadrant 3"
"1470",2023-11-21,"Cal St. Northridge","BW","Le Moyne","NEC","Home","L","80-70",-0.971430718387462,"Quadrant 4"
"1471",2023-11-21,"Lehigh","Pat","Monmouth","CAA","Away","L","88-79",-0.755994516031083,"Quadrant 3"
"1472",2023-11-21,"Monmouth","CAA","Lehigh","Pat","Home","W","88-79",0.0311676507709745,"Quadrant 4"
"1473",2023-11-21,"Marist","MAAC","New Hampshire","AE","Away","L","74-71",-0.828015128143776,"Quadrant 3"
"1474",2023-11-21,"New Hampshire","AE","Marist","MAAC","Home","W","74-71",0.0686497840992321,"Quadrant 4"
"1475",2023-11-21,"Marshall","SB","Oakland","Horz","Neutral","L","78-71",-0.773765853331627,"Quadrant 3"
"1476",2023-11-21,"Oakland","Horz","Marshall","SB","Neutral","W","78-71",0.103178649191997,"Quadrant 4"
"1477",2023-11-21,"McNeese St.","Slnd","Texas St.","SB","Neutral","W","59-48",0.0905193974904253,"Quadrant 4"
"1478",2023-11-21,"Texas St.","SB","McNeese St.","Slnd","Neutral","L","59-48",-0.629840077286391,"Quadrant 2"
"1479",2023-11-21,"Milwaukee","Horz","Siena","MAAC","Neutral","W","61-59",0.0168957640357248,"Quadrant 4"
"1480",2023-11-21,"Siena","MAAC","Milwaukee","Horz","Neutral","L","61-59",-0.911132790478589,"Quadrant 4"
"1481",2023-11-21,"Morgan St.","MEAC","Radford","BSth","Neutral","L","82-72",-0.893970975275715,"Quadrant 4"
"1482",2023-11-21,"Radford","BSth","Morgan St.","MEAC","Neutral","W","82-72",0.0298007619605458,"Quadrant 4"
"1483",2023-11-21,"New Mexico","MWC","Toledo","MAC","Neutral","W","92-84",0.174669906721308,"Quadrant 3"
"1484",2023-11-21,"Toledo","MAC","New Mexico","MWC","Neutral","L","92-84",-0.405464456091627,"Quadrant 1"
"1485",2023-11-21,"North Carolina Central","MEAC","The Citadel","SC","Neutral","L","67-61",-0.931170515669103,"Quadrant 4"
"1486",2023-11-21,"The Citadel","SC","North Carolina Central","MEAC","Neutral","W","67-61",0.0807431107471931,"Quadrant 4"
"1487",2023-11-21,"Northern Arizona","BSky","Hawaii","BW","Away","L","70-61",-0.748561329178819,"Quadrant 3"
"1488",2023-11-21,"Hawaii","BW","Northern Arizona","BSky","Home","W","70-61",0.0232225992000131,"Quadrant 4"
"1489",2023-11-21,"Pepperdine","WCC","UC Irvine","BW","Neutral","L","76-60",-0.669269531241247,"Quadrant 2"
"1490",2023-11-21,"UC Irvine","BW","Pepperdine","WCC","Neutral","W","76-60",0.10439750900832,"Quadrant 4"
"1491",2023-11-21,"Prairie View A&M","SWAC","Eastern Kentucky","ASun","Away","W","76-64",0.256516871127017,"Quadrant 3"
"1492",2023-11-21,"Eastern Kentucky","ASun","Prairie View A&M","SWAC","Home","L","76-64",-0.98508484788408,"Quadrant 4"
"1493",2023-11-21,"Purdue","B10","Tennessee","SEC","Neutral","W","71-67",0.765180220557264,"Quadrant 1"
"1494",2023-11-21,"Tennessee","SEC","Purdue","B10","Neutral","L","71-67",-0.143921654505309,"Quadrant 1"
"1495",2023-11-21,"Richmond","A10","UNLV","MWC","Neutral","W","82-65",0.346629029416421,"Quadrant 2"
"1496",2023-11-21,"UNLV","MWC","Richmond","A10","Neutral","L","82-65",-0.610634905414627,"Quadrant 2"
"1497",2023-11-21,"Southern Utah","WAC","Louisiana Tech","CUSA","Away","L","67-53",-0.44511530104591,"Quadrant 2"
"1498",2023-11-21,"Louisiana Tech","CUSA","Southern Utah","WAC","Home","W","67-53",0.047596883155914,"Quadrant 4"
"1499",2023-11-21,"Stephen F. Austin","WAC","Utah St.","MWC","Neutral","L","79-49",-0.538668076199937,"Quadrant 1"
"1500",2023-11-21,"Utah St.","MWC","Stephen F. Austin","WAC","Neutral","W","79-49",0.158007344075705,"Quadrant 3"
"1501",2023-11-21,"Texas Southern","SWAC","Oral Roberts","Sum","Away","L","65-63",-0.864973803975307,"Quadrant 4"
"1502",2023-11-21,"Oral Roberts","Sum","Texas Southern","SWAC","Home","W","65-63",0.0294640434698938,"Quadrant 4"
"1503",2023-11-21,"UAB","Amer","Middle Tennessee","CUSA","Away","W","58-57",0.124837228636672,"Quadrant 4"
"1504",2023-11-21,"Middle Tennessee","CUSA","UAB","Amer","Home","L","58-57",-0.856636369608623,"Quadrant 3"
"1505",2023-11-21,"UMBC","AE","Maryland","B10","Away","L","92-68",-0.418402446171273,"Quadrant 1"
"1506",2023-11-21,"Maryland","B10","UMBC","AE","Home","W","92-68",0.0347336504103207,"Quadrant 4"
"1507",2023-11-21,"USC Upstate","BSth","Ball St.","MAC","Away","L","75-58",-0.859303791669563,"Quadrant 4"
"1508",2023-11-21,"Ball St.","MAC","USC Upstate","BSth","Home","W","75-58",0.0384896675345705,"Quadrant 4"
"1509",2023-11-21,"Western Illinois","OVC","Valparaiso","MVC","Away","L","73-66",-0.88934627755337,"Quadrant 4"
"1510",2023-11-21,"Valparaiso","MVC","Western Illinois","OVC","Home","W","73-66",0.0575470286001843,"Quadrant 4"
"1511",2023-11-22,"Alabama St.","SWAC","Samford","SC","Away","L","99-67",-0.454281531629846,"Quadrant 1"
"1512",2023-11-22,"Samford","SC","Alabama St.","SWAC","Home","W","99-67",0.026308463667771,"Quadrant 4"
"1513",2023-11-22,"Alcorn St.","SWAC","UT Arlington","WAC","Away","L","82-69",-0.704934254103636,"Quadrant 3"
"1514",2023-11-22,"UT Arlington","WAC","Alcorn St.","SWAC","Home","W","82-69",0.030727031753191,"Quadrant 4"
"1515",2023-11-22,"Appalachian St.","SB","Murray St.","MVC","Neutral","W","67-57",0.273024822025785,"Quadrant 3"
"1516",2023-11-22,"Murray St.","MVC","Appalachian St.","SB","Neutral","L","67-57",-0.697158647672266,"Quadrant 2"
"1517",2023-11-22,"Arkansas","SEC","Stanford","P12","Neutral","W","77-74",0.370803615425948,"Quadrant 3"
"1518",2023-11-22,"Stanford","P12","Arkansas","SEC","Neutral","L","77-74",-0.756681331956363,"Quadrant 3"
"1519",2023-11-22,"Austin Peay","ASun","Sacramento St.","BSky","Neutral","W","74-71",0.0337529714015349,"Quadrant 4"
"1520",2023-11-22,"Sacramento St.","BSky","Austin Peay","ASun","Neutral","L","74-71",-0.903842759012593,"Quadrant 4"
"1521",2023-11-22,"Baylor","B12","Oregon St.","P12","Neutral","W","88-72",0.158865715435653,"Quadrant 3"
"1522",2023-11-22,"Oregon St.","P12","Baylor","B12","Neutral","L","88-72",-0.348628202213506,"Quadrant 1"
"1523",2023-11-22,"Boston College","ACC","Colorado St.","MWC","Neutral","L","86-74",-0.443575838704409,"Quadrant 1"
"1524",2023-11-22,"Colorado St.","MWC","Boston College","ACC","Neutral","W","86-74",0.31820095495906,"Quadrant 2"
"1525",2023-11-22,"Bradley","MVC","UTEP","CUSA","Neutral","W","63-59",0.132531568186716,"Quadrant 4"
"1526",2023-11-22,"UTEP","CUSA","Bradley","MVC","Neutral","L","63-59",-0.539048941536029,"Quadrant 2"
"1527",2023-11-22,"Bucknell","Pat","St. Bonaventure","A10","Away","L","67-61",-0.481183384372016,"Quadrant 1"
"1528",2023-11-22,"St. Bonaventure","A10","Bucknell","Pat","Home","W","67-61",0.0310501819546997,"Quadrant 4"
"1529",2023-11-22,"Buffalo","MAC","Iona","MAAC","Neutral","L","89-64",-0.846479335654215,"Quadrant 3"
"1530",2023-11-22,"Iona","MAAC","Buffalo","MAC","Neutral","W","89-64",0.0245873303275841,"Quadrant 4"
"1531",2023-11-22,"Cal St. Bakersfield","BW","Tarleton St.","WAC","Neutral","L","59-40",-0.831890759581104,"Quadrant 3"
"1532",2023-11-22,"Tarleton St.","WAC","Cal St. Bakersfield","BW","Neutral","W","59-40",0.0777044605530948,"Quadrant 4"
"1533",2023-11-22,"Central Arkansas","ASun","Kansas St.","B12","Away","L","100-56",-0.453386050205422,"Quadrant 2"
"1534",2023-11-22,"Kansas St.","B12","Central Arkansas","ASun","Home","W","100-56",0.0157145665060672,"Quadrant 4"
"1535",2023-11-22,"Central Connecticut","NEC","Massachusetts","A10","Away","L","89-60",-0.537404093921164,"Quadrant 2"
"1536",2023-11-22,"Massachusetts","A10","Central Connecticut","NEC","Home","W","89-60",0.0480270351999753,"Quadrant 4"
"1537",2023-11-22,"Chicago St.","ind","Morgan St.","MEAC","Neutral","W","84-83",0.0298007619605458,"Quadrant 4"
"1538",2023-11-22,"Morgan St.","MEAC","Chicago St.","ind","Neutral","L","84-83",-0.942431173184442,"Quadrant 4"
"1539",2023-11-22,"Creighton","BE","Loyola Chicago","A10","Neutral","W","88-65",0.328882986878199,"Quadrant 3"
"1540",2023-11-22,"Loyola Chicago","A10","Creighton","BE","Neutral","L","88-65",-0.354528942172151,"Quadrant 1"
"1541",2023-11-22,"Duquesne","A10","Nebraska","B10","Away","L","89-79",-0.324485158065578,"Quadrant 1"
"1542",2023-11-22,"Nebraska","B10","Duquesne","A10","Home","W","89-79",0.190376761889156,"Quadrant 3"
"1543",2023-11-22,"East Tennessee St.","SC","Cleveland St.","Horz","Away","L","72-70",-0.801879907804097,"Quadrant 3"
"1544",2023-11-22,"Cleveland St.","Horz","East Tennessee St.","SC","Home","W","72-70",0.0647487079405934,"Quadrant 4"
"1545",2023-11-22,"Fairleigh Dickinson","NEC","Queens","ASun","Away","L","97-84",-0.869758476125941,"Quadrant 4"
"1546",2023-11-22,"Queens","ASun","Fairleigh Dickinson","NEC","Home","W","97-84",0.0186863547184987,"Quadrant 4"
"1547",2023-11-22,"Florida","SEC","Pittsburgh","ACC","Neutral","W","86-71",0.447134758679939,"Quadrant 1"
"1548",2023-11-22,"Pittsburgh","ACC","Florida","SEC","Neutral","L","86-71",-0.374562109828519,"Quadrant 1"
"1549",2023-11-22,"Fort Wayne","Horz","San Francisco","WCC","Away","L","76-60",-0.47214667157436,"Quadrant 1"
"1550",2023-11-22,"San Francisco","WCC","Fort Wayne","Horz","Home","W","76-60",0.0636521284951941,"Quadrant 4"
"1551",2023-11-22,"Fresno St.","MWC","James Madison","SB","Neutral","L","95-64",-0.607478587946287,"Quadrant 2"
"1552",2023-11-22,"James Madison","SB","Fresno St.","MWC","Neutral","W","95-64",0.122602183860479,"Quadrant 4"
"1553",2023-11-22,"Georgia St.","SB","Little Rock","OVC","Away","W","93-90",0.200681747846212,"Quadrant 3"
"1554",2023-11-22,"Little Rock","OVC","Georgia St.","SB","Home","L","93-90",-0.938571139653206,"Quadrant 4"
"1555",2023-11-22,"Georgia Tech","ACC","Cincinnati","B12","Away","L","89-54",-0.333641525397662,"Quadrant 1"
"1556",2023-11-22,"Cincinnati","B12","Georgia Tech","ACC","Home","W","89-54",0.124785205149889,"Quadrant 3"
"1557",2023-11-22,"Gonzaga","WCC","UCLA","P12","Neutral","W","69-65",0.346424872998117,"Quadrant 3"
"1558",2023-11-22,"UCLA","P12","Gonzaga","WCC","Neutral","L","69-65",-0.38108925909945,"Quadrant 1"
"1559",2023-11-22,"Grambling St.","SWAC","Sam Houston St.","CUSA","Neutral","L","86-68",-0.856484089848872,"Quadrant 3"
"1560",2023-11-22,"Sam Houston St.","CUSA","Grambling St.","SWAC","Neutral","W","86-68",0.0524192850020906,"Quadrant 4"
"1561",2023-11-22,"Harvard","Ivy","Colgate","Pat","Away","W","76-70",0.26922528688841,"Quadrant 2"
"1562",2023-11-22,"Colgate","Pat","Harvard","Ivy","Home","L","76-70",-0.923549098398904,"Quadrant 4"
"1563",2023-11-22,"High Point","BSth","Hofstra","CAA","Neutral","L","97-92",-0.77443189622725,"Quadrant 3"
"1564",2023-11-22,"Hofstra","CAA","High Point","BSth","Neutral","W","97-92",0.251805387042277,"Quadrant 3"
"1565",2023-11-22,"Idaho","BSky","Seattle","WAC","Away","L","92-55",-0.611557924664173,"Quadrant 2"
"1566",2023-11-22,"Seattle","WAC","Idaho","BSky","Home","W","92-55",0.0431291842593646,"Quadrant 4"
"1567",2023-11-22,"Illinois St.","MVC","Wright St.","Horz","Neutral","L","74-49",-0.814939007840294,"Quadrant 3"
"1568",2023-11-22,"Wright St.","Horz","Illinois St.","MVC","Neutral","W","74-49",0.116789490536512,"Quadrant 3"
"1569",2023-11-22,"Indiana St.","MVC","Pepperdine","WCC","Neutral","W","90-82",0.10439750900832,"Quadrant 4"
"1570",2023-11-22,"Pepperdine","WCC","Indiana St.","MVC","Neutral","L","90-82",-0.512418598996558,"Quadrant 1"
"1571",2023-11-22,"Jacksonville St.","CUSA","Incarnate Word","Slnd","Away","L","67-66",-0.944663548516832,"Quadrant 4"
"1572",2023-11-22,"Incarnate Word","Slnd","Jacksonville St.","CUSA","Home","W","67-66",0.0826895064864842,"Quadrant 4"
"1573",2023-11-22,"Kansas","B12","Tennessee","SEC","Neutral","W","69-60",0.765180220557264,"Quadrant 1"
"1574",2023-11-22,"Tennessee","SEC","Kansas","B12","Neutral","L","69-60",-0.307239405113346,"Quadrant 1"
"1575",2023-11-22,"Long Beach St.","BW","Louisiana Lafayette","SB","Neutral","L","92-82",-0.728343713883488,"Quadrant 3"
"1576",2023-11-22,"Louisiana Lafayette","SB","Long Beach St.","BW","Neutral","W","92-82",0.154348484212419,"Quadrant 3"
"1577",2023-11-22,"Maine","AE","South Florida","Amer","Away","W","70-59",0.405207665554391,"Quadrant 2"
"1578",2023-11-22,"South Florida","Amer","Maine","AE","Home","L","70-59",-0.950963239868648,"Quadrant 4"
"1579",2023-11-22,"Marquette","BE","Purdue","B10","Neutral","L","78-75",-0.143921654505309,"Quadrant 1"
"1580",2023-11-22,"Purdue","B10","Marquette","BE","Neutral","W","78-75",0.680560551448983,"Quadrant 1"
"1581",2023-11-22,"Maryland Eastern Shore","MEAC","Notre Dame","ACC","Away","L","75-55",-0.681350601556238,"Quadrant 3"
"1582",2023-11-22,"Notre Dame","ACC","Maryland Eastern Shore","MEAC","Home","W","75-55",0.00980795953557878,"Quadrant 4"
"1583",2023-11-22,"McNeese St.","Slnd","Louisiana Tech","CUSA","Away","L","71-62",-0.44511530104591,"Quadrant 2"
"1584",2023-11-22,"Louisiana Tech","CUSA","McNeese St.","Slnd","Home","W","71-62",0.235849136697541,"Quadrant 2"
"1585",2023-11-22,"Memphis","Amer","Michigan","B10","Neutral","W","71-67",0.313274352252127,"Quadrant 3"
"1586",2023-11-22,"Michigan","B10","Memphis","Amer","Neutral","L","71-67",-0.674170039521803,"Quadrant 2"
"1587",2023-11-22,"Merrimack","NEC","North Carolina A&T","CAA","Neutral","W","96-73",0.031203802487587,"Quadrant 4"
"1588",2023-11-22,"North Carolina A&T","CAA","Merrimack","NEC","Neutral","L","96-73",-0.878797440237646,"Quadrant 4"
"1589",2023-11-22,"Mississippi","SEC","Temple","Amer","Away","W","77-76",0.190873027894328,"Quadrant 4"
"1590",2023-11-22,"Temple","Amer","Mississippi","SEC","Home","L","77-76",-0.6952543690638,"Quadrant 2"
"1591",2023-11-22,"Mount St. Mary's","MAAC","American","Pat","Away","L","68-65",-0.861749554977535,"Quadrant 4"
"1592",2023-11-22,"American","Pat","Mount St. Mary's","MAAC","Home","W","68-65",0.071064846119309,"Quadrant 4"
"1593",2023-11-22,"New Mexico St.","CUSA","Southern Illinois","MVC","Neutral","L","81-54",-0.709042516958925,"Quadrant 3"
"1594",2023-11-22,"Southern Illinois","MVC","New Mexico St.","CUSA","Neutral","W","81-54",0.0812524759322536,"Quadrant 4"
"1595",2023-11-22,"New Mexico","MWC","Rice","Amer","Neutral","W","90-56",0.127511306770784,"Quadrant 4"
"1596",2023-11-22,"Rice","Amer","New Mexico","MWC","Neutral","L","90-56",-0.405464456091627,"Quadrant 1"
"1597",2023-11-22,"North Alabama","ASun","Tennessee Martin","OVC","Away","L","105-103",-0.820641458224529,"Quadrant 3"
"1598",2023-11-22,"Tennessee Martin","OVC","North Alabama","ASun","Home","W","105-103",0.0412577193052421,"Quadrant 4"
"1599",2023-11-22,"North Carolina","ACC","Northern Iowa","MVC","Neutral","W","91-69",0.24455828233599,"Quadrant 3"
"1600",2023-11-22,"Northern Iowa","MVC","North Carolina","ACC","Neutral","L","91-69",-0.317527614707245,"Quadrant 1"
"1601",2023-11-22,"Northern Colorado","BSky","Radford","BSth","Neutral","L","79-68",-0.893970975275715,"Quadrant 4"
"1602",2023-11-22,"Radford","BSth","Northern Colorado","BSky","Neutral","W","79-68",0.12294451148868,"Quadrant 3"
"1603",2023-11-22,"Princeton","Ivy","Old Dominion","SB","Away","W","76-56",0.116586700929419,"Quadrant 4"
"1604",2023-11-22,"Old Dominion","SB","Princeton","Ivy","Home","L","76-56",-0.765803037743974,"Quadrant 2"
"1605",2023-11-22,"SMU","Amer","Wisconsin","B10","Neutral","L","69-61",-0.389487947912815,"Quadrant 1"
"1606",2023-11-22,"Wisconsin","B10","SMU","Amer","Neutral","W","69-61",0.52213927891046,"Quadrant 1"
"1607",2023-11-22,"South Carolina St.","MEAC","Missouri","SEC","Away","L","82-59",-0.661798108925311,"Quadrant 3"
"1608",2023-11-22,"Missouri","SEC","South Carolina St.","MEAC","Home","W","82-59",0.0295618564303995,"Quadrant 4"
"1609",2023-11-22,"South Dakota St.","Sum","Southern Miss","SB","Away","W","65-54",0.165345105611175,"Quadrant 3"
"1610",2023-11-22,"Southern Miss","SB","South Dakota St.","Sum","Home","L","65-54",-0.911413493700905,"Quadrant 4"
"1611",2023-11-22,"Southern Utah","WAC","Texas St.","SB","Neutral","W","74-67",0.0905193974904253,"Quadrant 4"
"1612",2023-11-22,"Texas St.","SB","Southern Utah","WAC","Neutral","L","74-67",-0.913107272566852,"Quadrant 4"
"1613",2023-11-22,"Tennessee Tech","OVC","Presbyterian","BSth","Away","W","79-75",0.0977848114857776,"Quadrant 4"
"1614",2023-11-22,"Presbyterian","BSth","Tennessee Tech","OVC","Home","L","79-75",-0.987306186642918,"Quadrant 4"
"1615",2023-11-22,"Texas A&M Corpus Chris","Slnd","Northern Kentucky","Horz","Away","L","88-73",-0.787976906253574,"Quadrant 3"
"1616",2023-11-22,"Northern Kentucky","Horz","Texas A&M Corpus Chris","Slnd","Home","W","88-73",0.0814365419348848,"Quadrant 4"
"1617",2023-11-22,"Texas Tech","B12","Villanova","BE","Neutral","L","85-69",-0.438843330523773,"Quadrant 1"
"1618",2023-11-22,"Villanova","BE","Texas Tech","B12","Neutral","W","85-69",0.59014168019156,"Quadrant 1"
"1619",2023-11-22,"The Citadel","SC","Campbell","CAA","Away","L","65-58",-0.893423438532556,"Quadrant 4"
"1620",2023-11-22,"Campbell","CAA","The Citadel","SC","Home","W","65-58",0.0373681506318579,"Quadrant 4"
"1621",2023-11-22,"Toledo","MAC","UC Irvine","BW","Neutral","L","77-71",-0.669269531241247,"Quadrant 2"
"1622",2023-11-22,"UC Irvine","BW","Toledo","MAC","Neutral","W","77-71",0.174669906721308,"Quadrant 3"
"1623",2023-11-22,"Tulane","Amer","California","P12","Neutral","W","84-81",0.297699979560455,"Quadrant 3"
"1624",2023-11-22,"California","P12","Tulane","Amer","Neutral","L","84-81",-0.781999041540887,"Quadrant 3"
"1625",2023-11-22,"UC Riverside","BW","Montana St.","BSky","Away","L","69-68",-0.82590344444941,"Quadrant 4"
"1626",2023-11-22,"Montana St.","BSky","UC Riverside","BW","Home","W","69-68",0.0594097268203297,"Quadrant 4"
"1627",2023-11-22,"VMI","SC","Air Force","MWC","Away","L","64-54",-0.813873735205438,"Quadrant 4"
"1628",2023-11-22,"Air Force","MWC","VMI","SC","Home","W","64-54",0.00880788857677683,"Quadrant 4"
"1629",2023-11-22,"Virginia","ACC","West Virginia","B12","Neutral","W","56-54",0.196848043624735,"Quadrant 3"
"1630",2023-11-22,"West Virginia","B12","Virginia","ACC","Neutral","L","56-54",-0.483875838307461,"Quadrant 1"
"1631",2023-11-23,"Arizona","P12","Michigan St.","B10","Neutral","W","74-68",0.675931843159645,"Quadrant 1"
"1632",2023-11-23,"Michigan St.","B10","Arizona","P12","Neutral","L","74-68",-0.198937064769273,"Quadrant 1"
"1633",2023-11-23,"Arkansas","SEC","Memphis","Amer","Neutral","L","84-79",-0.674170039521803,"Quadrant 2"
"1634",2023-11-23,"Memphis","Amer","Arkansas","SEC","Neutral","W","84-79",0.243318668043637,"Quadrant 3"
"1635",2023-11-23,"BYU","B12","Arizona St.","P12","Neutral","W","77-49",0.228908432269837,"Quadrant 3"
"1636",2023-11-23,"Arizona St.","P12","BYU","B12","Neutral","L","77-49",-0.334117455490744,"Quadrant 1"
"1637",2023-11-23,"Boise St.","MWC","Virginia Tech","ACC","Neutral","L","82-75",-0.565306854116374,"Quadrant 2"
"1638",2023-11-23,"Virginia Tech","ACC","Boise St.","MWC","Neutral","W","82-75",0.490974953193086,"Quadrant 1"
"1639",2023-11-23,"Boston College","ACC","Loyola Chicago","A10","Neutral","L","71-68",-0.671117013121801,"Quadrant 3"
"1640",2023-11-23,"Loyola Chicago","A10","Boston College","ACC","Neutral","W","71-68",0.31820095495906,"Quadrant 2"
"1641",2023-11-23,"Butler","BE","Florida Atlantic","Amer","Neutral","L","91-86",-0.53361577615555,"Quadrant 1"
"1642",2023-11-23,"Florida Atlantic","Amer","Butler","BE","Neutral","W","91-86",0.470235030337902,"Quadrant 2"
"1643",2023-11-23,"Colorado St.","MWC","Creighton","BE","Neutral","W","69-48",0.645471057827849,"Quadrant 1"
"1644",2023-11-23,"Creighton","BE","Colorado St.","MWC","Neutral","L","69-48",-0.443575838704409,"Quadrant 1"
"1645",2023-11-23,"Iowa St.","B12","VCU","A10","Neutral","W","68-64",0.366987309482882,"Quadrant 2"
"1646",2023-11-23,"VCU","A10","Iowa St.","B12","Neutral","L","68-64",-0.213994450918854,"Quadrant 1"
"1647",2023-11-23,"Iowa","B10","Oklahoma","B12","Neutral","L","79-67",-0.468612929423008,"Quadrant 1"
"1648",2023-11-23,"Oklahoma","B12","Iowa","B10","Neutral","W","79-67",0.435721008279371,"Quadrant 2"
"1649",2023-11-23,"Michigan","B10","Stanford","P12","Neutral","W","83-78",0.370803615425948,"Quadrant 3"
"1650",2023-11-23,"Stanford","P12","Michigan","B10","Neutral","L","83-78",-0.686725647747873,"Quadrant 3"
"1651",2023-11-23,"North Carolina St.","ACC","Vanderbilt","SEC","Neutral","W","84-78",0.125396360321271,"Quadrant 4"
"1652",2023-11-23,"Vanderbilt","SEC","North Carolina St.","ACC","Neutral","L","84-78",-0.619126030435763,"Quadrant 2"
"1653",2023-11-23,"North Carolina","ACC","Villanova","BE","Neutral","L","83-81",-0.438843330523773,"Quadrant 1"
"1654",2023-11-23,"Villanova","BE","North Carolina","ACC","Neutral","W","83-81",0.682472385292755,"Quadrant 1"
"1655",2023-11-23,"Northern Iowa","MVC","Texas Tech","B12","Neutral","L","72-70",-0.40985831980844,"Quadrant 1"
"1656",2023-11-23,"Texas Tech","B12","Northern Iowa","MVC","Neutral","W","72-70",0.24455828233599,"Quadrant 3"
"1657",2023-11-23,"Penn St.","B10","Texas A&M","SEC","Neutral","L","89-77",-0.537595701324425,"Quadrant 1"
"1658",2023-11-23,"Texas A&M","SEC","Penn St.","B10","Neutral","W","89-77",0.326356369289416,"Quadrant 2"
"1659",2023-11-23,"Seton Hall","BE","USC","P12","Neutral","L","71-63",-0.699782780680859,"Quadrant 3"
"1660",2023-11-23,"USC","P12","Seton Hall","BE","Neutral","W","71-63",0.475622125273052,"Quadrant 2"
"1661",2023-11-24,"Alabama A&M","SWAC","East Tennessee St.","SC","Neutral","L","82-71",-0.883526697890667,"Quadrant 4"
"1662",2023-11-24,"East Tennessee St.","SC","Alabama A&M","SWAC","Neutral","W","82-71",0.0247569090493395,"Quadrant 4"
"1663",2023-11-24,"Alabama St.","SWAC","North Carolina A&T","CAA","Neutral","W","88-73",0.031203802487587,"Quadrant 4"
