"","date","team","conf","opp","opp_conf","location","result","score","wab","quad"
"54",2023-11-06,"UC San Diego","BW","Denver","Sum","Home","W","95-87",0.0517832320946267,"Quadrant 4"
"55",2023-11-06,"Detroit","Horz","Toledo","MAC","Away","L","94-60",-0.712763427166276,"Quadrant 2"
"56",2023-11-06,"Toledo","MAC","Detroit","Horz","Home","W","94-60",0.00922412585018562,"Quadrant 4"
"57",2023-11-06,"Eastern Illinois","OVC","Illinois","B10","Away","L","80-52",-0.180049465744524,"Quadrant 1"
"58",2023-11-06,"Illinois","B10","Eastern Illinois","OVC","Home","W","80-52",0.0267447322992673,"Quadrant 4"
"59",2023-11-06,"Eastern Michigan","MAC","Butler","BE","Away","L","94-55",-0.371720883996209,"Quadrant 1"
"60",2023-11-06,"Butler","BE","Eastern Michigan","MAC","Home","W","94-55",0.0190655805799802,"Quadrant 4"
"61",2023-11-06,"Eastern Washington","BSky","Utah","P12","Away","L","101-66",-0.342304770578171,"Quadrant 1"
"62",2023-11-06,"Utah","P12","Eastern Washington","BSky","Home","W","101-66",0.130629144772201,"Quadrant 3"
"63",2023-11-06,"Elon","CAA","Wake Forest","ACC","Away","L","101-78",-0.291470082243944,"Quadrant 1"
"64",2023-11-06,"Wake Forest","ACC","Elon","CAA","Home","W","101-78",0.0297753027345901,"Quadrant 4"
"65",2023-11-06,"FIU","CUSA","UCF","B12","Away","L","85-62",-0.42410259204203,"Quadrant 1"
"66",2023-11-06,"UCF","B12","FIU","CUSA","Home","W","85-62",0.0313551132151783,"Quadrant 4"
"67",2023-11-06,"Fairfield","MAAC","Boston College","ACC","Away","L","89-70",-0.529468249888441,"Quadrant 2"
"68",2023-11-06,"Boston College","ACC","Fairfield","MAAC","Home","W","89-70",0.0739503683140366,"Quadrant 4"
"69",2023-11-06,"Fairleigh Dickinson","NEC","Buffalo","MAC","Away","W","92-86",0.0458000844378809,"Quadrant 4"
"70",2023-11-06,"Buffalo","MAC","Fairleigh Dickinson","NEC","Home","L","92-86",-0.981313645281501,"Quadrant 4"
"71",2023-11-06,"Georgia Southern","SB","Georgia Tech","ACC","Away","L","84-62",-0.659213500031664,"Quadrant 3"
"72",2023-11-06,"Georgia Tech","ACC","Georgia Southern","SB","Home","W","84-62",0.0292927548943859,"Quadrant 4"
"73",2023-11-06,"Georgia St.","SB","Belmont","MVC","Away","L","89-87",-0.659012574326102,"Quadrant 3"
"74",2023-11-06,"Belmont","MVC","Georgia St.","SB","Home","W","89-87",0.0614288603467936,"Quadrant 4"
"75",2023-11-06,"Georgia","SEC","Oregon","P12","Neutral","L","82-71",-0.573996807461473,"Quadrant 2"
"76",2023-11-06,"Oregon","P12","Georgia","SEC","Neutral","W","82-71",0.387166393704678,"Quadrant 2"
"77",2023-11-06,"Green Bay","Horz","Iowa St.","B12","Away","L","85-44",-0.125093469168878,"Quadrant 1"
"78",2023-11-06,"Iowa St.","B12","Green Bay","Horz","Home","W","85-44",0.0629369992620965,"Quadrant 4"
"79",2023-11-06,"Hampton","CAA","Howard","MEAC","Away","L","92-80",-0.861011725695416,"Quadrant 4"
"80",2023-11-06,"Howard","MEAC","Hampton","CAA","Home","W","92-80",0.0182546282615419,"Quadrant 4"
"81",2023-11-06,"Holy Cross","Pat","Siena","MAAC","Away","L","73-71",-0.968311811070233,"Quadrant 4"
"82",2023-11-06,"Siena","MAAC","Holy Cross","Pat","Home","W","73-71",0.0107794692113636,"Quadrant 4"
"83",2023-11-06,"Houston Christian","Slnd","BYU","B12","Away","L","110-63",-0.208554143748343,"Quadrant 1"
"84",2023-11-06,"BYU","B12","Houston Christian","Slnd","Home","W","110-63",0.0100948255322267,"Quadrant 4"
"85",2023-11-06,"Idaho","BSky","Washington St.","P12","Away","L","84-59",-0.309968329460148,"Quadrant 1"
"86",2023-11-06,"Washington St.","P12","Idaho","BSky","Home","W","84-59",0.0431291842593646,"Quadrant 4"
"87",2023-11-06,"Illinois Chicago","MVC","Cincinnati","B12","Away","L","69-58",-0.333641525397662,"Quadrant 1"
"88",2023-11-06,"Cincinnati","B12","Illinois Chicago","MVC","Home","W","69-58",0.0839051736150105,"Quadrant 4"
